"FIPS" "first.year" "long" "lat" "ba" "plant" "x" "y"
"1967" 34021 1991 -74.69455 40.28634 2.6511 6.7812 0.0351239245614778 -1.25367378161311
"1968" 34023 1991 -74.41748 40.4467 0.8484158 6.83229 0.0386911592774494 -1.25074373355977
"1969" 34025 1988 -74.20899 40.26116 4.875927 6.9459 0.0415429080226272 -1.25392114760792
"1970" 34027 1988 -74.55699 40.86163 10.592154 6.27907 0.0366400744945579 -1.24349786486423
"1971" 34029 1992 -74.28386 39.91416 2.9854131 6.90364 0.0407526751064345 -1.2600616368119
"1982" 34031 1990 -74.29866 41.03232 10.70347 6.51727 0.0399231451771227 -1.24039119975125
"1983" 34033 1992 -75.34277 39.5932 3.03191 7.05879 0.02683149030909 -1.26609011752331
"1984" 34035 1991 -74.62239 40.56772 2.88043 6.51068 0.0359332299794095 -1.24869440069183
"1985" 34037 1988 -74.69525 41.14084 12.294259 5.99964 0.0346935436803202 -1.23863811960673
"1986" 34039 1992 -74.31498 40.66755 0.240741 6.90747 0.0399155911595687 -1.2468150657376
"1987" 34041 1988 -75.00166 40.86243 9.122272 6.20934 0.0308215276606057 -1.24364160225504
"1988" 36001 2003 -73.97452 42.60392 82.5138 5.41655 0.0431701344883167 -1.21263442889592
"1990" 36005 1991 -73.86494 40.85618 0.935185 7.16509 0.0456969488146144 -1.24329397215514
"1991" 36007 2010 -75.81766 42.16337 189.78202 5.54908 0.019772700932133 -1.2209821782169
"1995" 36015 2010 -76.76317 42.14159 49.32956 5.54438 0.00762776918440649 -1.22150121625853
"1998" 36021 1992 -73.63709 42.25262 81.2599 5.51871 0.0477164836208544 -1.2186400794348
"2000" 36025 2002 -74.97049 42.19659 126.6834 5.19239 0.0306403300604443 -1.22017382839764
"2001" 36027 1989 -73.75191 41.76733 54.974886 5.71545 0.0465676881332661 -1.2272208885045
"2008" 36039 1999 -74.131 42.27937 142.65136 5.37251 0.0413670489494919 -1.21840183003847
"2019" 36047 1984 -73.95465 40.64058 0 7.5 0.0446592200712006 -1.24712925792694
"2023" 36055 2002 -77.70189 43.14306 5.9055798 6.20255 -0.00437296998390679 -1.20393036282718
"2025" 36059 1984 -73.58388 40.74586 6 7.2514 0.0494504370766325 -1.24509370747529
"2027" 36061 1991 -73.97427 40.77022 0.194805 7.36066 0.044320574155148 -1.24485779427459
"2032" 36071 1988 -74.31135 41.40107 127.10649 6.1133 0.0395496833128742 -1.23391188402382
"2036" 36079 1988 -73.7527 41.42885 15.172353 6.13777 0.0467831580869398 -1.23316978696238
"2037" 36081 1984 -73.81471 40.68353 0.045283 7.49818 0.0464672453142943 -1.24630658176564
"2040" 36083 2009 -73.51042 42.71192 136.04801 5.46634 0.0490141894296532 -1.21051416405692
"2041" 36085 1991 -74.17372 40.57794 0 7.256 0.0418214663382273 -1.24833103227364
"2042" 36087 1989 -74.02496 41.1529 13.69321 6.64875 0.043420604556374 -1.23815056894671
"2050" 36095 2011 -74.44267 42.58669 198.13114 5.20795 0.037205915575298 -1.21313481759575
"2054" 36103 1984 -72.84618 40.86686 7.57606 7.02022 0.0590118621173802 -1.24254497339545
"2062" 36105 1991 -74.77418 41.71357 205.2261 5.61363 0.0333911837469856 -1.2285957200325
"2063" 36107 2010 -76.30568 42.17365 75.9592 5.48244 0.0135010956115212 -1.22088696234752
"2065" 36111 1991 -74.26255 41.89 161.47083 5.70282 0.0399033651830305 -1.22529775384642
"2069" 36119 1987 -73.76251 41.16351 64.43274 6.70412 0.0468323624150054 -1.23783939245566
"2072" 37001 2001 -79.39965 36.03541 NA 7.5 -0.0285664106450478 -1.32876259515263
"2073" 37003 2006 -81.17839 35.93489 0.0163934 7.48507 -0.0534989222441054 -1.32976452988619
"2074" 37005 2001 -81.14063 36.49509 2.772322 6.4438 -0.0525778023620378 -1.31992445401153
"2076" 37009 2001 -81.51388 36.43885 2.3377705 6.36579 -0.057804248364917 -1.32069774916659
"2077" 37011 2002 -81.92854 36.09249 53.3053273 6.27181 -0.0638590849641116 -1.32652792560893
"2092" 37021 2002 -82.53955 35.61619 0.8 6.79302 -0.0728428600011004 -1.33446681584115
"2093" 37023 2001 -81.71393 35.75841 0.436364 7.32386 -0.0611332848879043 -1.33254712689946
