"FIPS" "year" "lat" "long" "size" "population" "income" "basalpercent" "x" "y"
"1193" 26003 2000 46.40753 -86.61853 915.07 9541 19858 8 -0.0899008662325591 -1.1433368363043
"1194" 26005 1989 42.58998 -85.88517 825.23 112039 23395 14 -0.0857972850060661 -1.21061097642985
"1195" 26007 1989 45.03905 -83.62914 571.86 29234 21867 44 -0.0550229403308353 -1.1694408932044
"1196" 26009 1989 45.0024 -85.13616 475.7 23406 23941 19 -0.0735982560573876 -1.16906068517607
"1197" 26011 1984 44.07053 -83.89198 363.19 15477 19386 32 -0.0590999426669513 -1.1862075986958
"1198" 26013 2002 46.66409 -88.37615 898.26 8683 19076 20 -0.110595608596765 -1.13703587343739
"1199" 26015 1989 42.59333 -85.31197 553.09 58990 24989 15 -0.0784908677133561 -1.21104768211616
"1200" 26017 1982 43.70564 -83.98748 442.3 106935 23642 3 -0.0606163680764117 -1.19253265683275
"1201" 26019 1989 44.64316 -86.0064 319.7 17465 24267 16 -0.0847512170391143 -1.17460249350942
"1202" 26021 1982 41.95962 -86.41846 567.75 156067 24490 5 -0.0934336273684814 -1.22115423663719
"1203" 26023 1986 41.92651 -85.06426 506.37 43868 19563 4 -0.076061610136286 -1.22294242407366
"1204" 26025 1986 42.24563 -85.0027 706.23 135099 22430 6 -0.0749249494113778 -1.21739326590873
"1205" 26027 1989 41.91985 -85.99087 490.06 52242 23045 4 -0.08798906827363 -1.22225954560937
"1206" 26029 1989 45.2251 -85.03412 416.34 26023 28226 19 -0.0721027998349318 -1.16525560570437
"1207" 26031 1989 45.44789 -84.50576 715.26 25835 22379 46 -0.065405242550268 -1.16175443630545
"1208" 26033 1994 46.32848 -84.72401 1558.42 38917 20744 34 -0.0671746919528438 -1.14627540026794
"1209" 26035 1982 43.99135 -84.8428 564.32 30753 18413 44 -0.0710465276012401 -1.18694144308662
"1210" 26037 1986 42.94895 -84.59434 566.41 76001 27723 4 -0.0689878849264791 -1.20537220814213
"1211" 26039 1989 44.68498 -84.60008 556.28 14009 21583 46 -0.0673206306564942 -1.17499762670049
"1212" 26041 2000 45.92416 -86.93513 1171.1 36884 22208 28 -0.0943969304066582 -1.15142297746189
"1213" 26043 2000 46.01173 -87.88341 761.4 26220 24963 38 -0.105740268607594 -1.14890393269112
"1214" 26045 1986 42.59903 -84.83792 575.18 108008 26296 2 -0.072443582449173 -1.2113241790929
"1215" 26047 1989 45.51335 -84.88965 467.49 32915 29465 29 -0.0700283032397211 -1.16034030432111
"1216" 26049 1984 43.028 -83.70346 636.98 418408 22577 4 -0.0576203110067701 -1.20458006609153
"1217" 26051 1984 43.99293 -84.37862 501.78 25484 20677 54 -0.0652473222075005 -1.18724663217271
"1218" 26053 2002 46.40096 -89.68657 1101.85 16084 20759 27 -0.12676757910363 -1.13995333162121
"1219" 26055 1983 44.6739 -85.55444 464.33 89112 27617 29 -0.0791285572446914 -1.17445576943064
"1220" 26057 1981 43.29692 -84.60437 568.46 42063 18936 5 -0.0687655576766225 -1.19926912111604
"1221" 26059 1989 41.89663 -84.59661 598.13 46229 20428 1 -0.0700734057837809 -1.22382629851193
"1222" 26061 2002 46.89607 -88.68492 1009.1 36520 18556 21 -0.113885447198833 -1.13265770208074
"1223" 26063 1986 43.8392 -83.01304 835.71 32463 21845 6 -0.0482920318534464 -1.19075268377287
"1224" 26065 1986 42.60398 -84.36819 556.12 281723 24322 6 -0.0664512824444145 -1.2115806157692
"1225" 26067 1986 42.94749 -85.07058 571.3 63941 19994 5 -0.0750284104948714 -1.20503697308188
"1226" 26069 1986 44.3592 -83.63636 549.1 25357 21303 37 -0.0556714951019061 -1.18131357196345
"1227" 26071 2002 46.21192 -88.53798 1166.15 11587 20099 42 -0.113306695201565 -1.14467760343084
"1228" 26073 1981 43.64076 -84.84361 572.68 70617 18738 16 -0.0714237774388758 -1.19307350305705
"1229" 26075 1986 42.25048 -84.4193 701.67 160309 22227 12 -0.0674462227668883 -1.21774514343706
"1230" 26077 1982 42.24704 -85.52541 561.66 254580 25620 5 -0.081617408145417 -1.21693807254596
"1231" 26079 1989 44.68834 -85.07925 559.87 17099 19685 28 -0.0732399404541782 -1.17458464077881
"1232" 26081 1982 43.03258 -85.5457 846.95 614462 25410 11 -0.080951138298033 -1.20315680190723
"1233" 26083 2002 47.35684 -88.11834 540.11 2215 21218 22 -0.106378392295258 -1.12535070147574
"1234" 26085 1989 43.99349 -85.80475 567.37 11498 16741 63 -0.0830532750062218 -1.18612419420421
"1235" 26087 1986 43.09911 -83.22131 643.01 88173 24358 13 -0.0514555372412121 -1.20361011139287
"1236" 26089 1989 44.92094 -85.77005 347.17 21607 32311 7 -0.0814925045973955 -1.16996414729141
"1237" 26091 1986 41.90704 -84.06689 749.56 98987 22449 3 -0.0632419823671549 -1.22401507353438
"1238" 26093 1984 42.60892 -83.9067 565.25 182838 31751 13 -0.0605632860511059 -1.21180234143686
"1239" 26095 1994 46.46693 -85.54708 899.08 6522 18294 16 -0.0769368852220814 -1.14324611656777
"1240" 26097 1994 46.09373 -85.1212 1021.57 11137 22195 38 -0.0722206648751395 -1.15006532556793
"1241" 26099 1986 42.70345 -82.92813 479.22 847383 26661 9 -0.0480177747564097 -1.21070294312564
"1242" 26101 1989 44.33709 -86.05251 542.15 24672 22258 40 -0.0857090736121349 -1.17990276816105
"1243" 26103 2000 46.43259 -87.64827 1808.4 67906 23464 32 -0.10224381411428 -1.1418612747809
"1244" 26105 1989 43.99449 -86.24714 495.07 28680 22494 30 -0.0885719867915314 -1.18570729817984
"1245" 26107 1982 43.64076 -85.32554 555.07 43318 19320 21 -0.0774724580221341 -1.1926960039878
"1246" 26109 2000 45.57484 -87.567 1044.08 23815 21886 34 -0.10258786302077 -1.15683865675807
"1247" 26111 1981 43.64791 -84.38392 516.25 83822 29451 40 -0.0656456317921522 -1.19327984793474
"1248" 26113 1986 44.3412 -85.08137 564.73 15031 19740 40 -0.0736442723572979 -1.18064511956115
"1249" 26115 1986 41.94229 -83.53715 549.39 151048 25774 8 -0.0563902733305957 -1.22372952496745
"1250" 26117 1981 43.311 -85.15405 705.4 63097 19010 23 -0.0756847211483187 -1.19860487455178
"1251" 26119 1989 45.02911 -84.12097 546.66 9476 19264 52 -0.0610828428842172 -1.16931396820164
"1252" 26121 1983 43.28787 -86.13699 499.25 170182 20222 35 -0.0881061720128858 -1.19816269830001
"1253" 26123 1986 43.55359 -85.80473 813.2 47959 21120 37 -0.0835915194866582 -1.193814730583
"1254" 26125 1982 42.66773 -83.38244 867.66 1220657 36314 7 -0.0538322396111783 -1.21108621020262
"1255" 26127 1989 43.63676 -86.25442 512.07 26310 18916 27 -0.0891302605109148 -1.19195182688429
"1256" 26129 1986 44.33982 -84.12166 563.49 21437 18909 45 -0.0617203226248753 -1.18135266901242
"1257" 26131 2002 46.6642 -89.31972 1311.23 6413 22195 28 -0.121877991455819 -1.13587998932784
"1258" 26133 1981 43.99134 -85.32345 566.39 23276 18228 26 -0.0770481510671854 -1.18656714829127
"1259" 26135 1989 44.68354 -84.12518 565.73 8592 18706 58 -0.0614500708785996 -1.17534448674542
"1260" 26137 1989 45.0182 -84.59354 514.97 24020 23179 35 -0.0669069500662279 -1.16918614719497
"1261" 26139 1983 42.96154 -85.98676 563.47 269099 25197 11 -0.0866230976092701 -1.20401178374316
"1262" 26141 1994 45.34553 -83.91483 658.72 13129 21926 40 -0.0582702108953209 -1.16392342032979
"1263" 26143 1986 44.33692 -84.59721 519.64 24106 21637 52 -0.0676333194421391 -1.18107974426174
"1264" 26145 1981 43.33761 -84.04999 800.11 198353 22257 11 -0.0617325047950111 -1.19893702946295
"1265" 26147 1986 42.95782 -82.69856 721.17 160644 23960 10 -0.0449270876663628 -1.20635282229452
"1266" 26149 1989 41.92703 -85.5266 500.59 60796 20772 11 -0.0820090856121957 -1.22254883304807
"1267" 26151 1986 43.42783 -82.82103 962.57 42268 20056 5 -0.0461640053278278 -1.1980538456778
"1268" 26153 2000 46.19646 -86.21379 1171.36 8343 21134 24 -0.0853036918714723 -1.14737441926585
"1269" 26155 1986 42.95752 -84.13817 530.67 69232 22727 7 -0.0631939478510913 -1.20553922094113
"1270" 26157 1986 43.4712 -83.41522 803.13 54662 20503 11 -0.0536189698055617 -1.19698203441867
"1271" 26159 1984 42.24908 -86.01481 607.47 75454 21898 11 -0.0878799943686873 -1.21646592233526
"1272" 26161 1986 42.26044 -83.83541 705.97 350946 32529 11 -0.0599553051933043 -1.21796170929557
"1273" 26163 1982 42.29537 -83.2859 612.08 1792365 22351 6 -0.052885865302147 -1.21767481708631
"1274" 26165 1989 44.34339 -85.57123 565 32608 20627 29 -0.0797257963250333 -1.18021162653355
"1723" 33001 1909 43.51751 -71.42227 400.23 60327 29449 59 0.0973804275402148 -1.19340384778956
"1724" 33003 1912 43.88247 -71.19965 931.06 47567 29194 25 0.0996402724377343 -1.18679794517579
"1725" 33005 1912 42.92029 -72.25419 706.66 76851 27459 34 0.0876916067314991 -1.20466039220274
"1726" 33007 1934 44.70653 -71.3077 1794.69 32096 23580 31 0.0971004504306053 -1.17253399612386
"1727" 33009 1914 43.93652 -71.81627 1708.75 89181 29090 32 0.0918654644661705 -1.18647525537159
"1728" 33011 1909 42.91749 -71.71271 876.14 402922 33653 36 0.0945571571145726 -1.20419024818971
"1729" 33013 1909 43.29867 -71.68097 934.12 146761 31403 41 0.0944334573467165 -1.1974905844151
"1730" 33015 1905 42.99017 -71.12159 694.72 297820 37422 27 0.101936925338084 -1.2023077370115
"1731" 33017 1909 43.30344 -71.03101 368.98 124119 29405 33 0.102613134081754 -1.1967334348106
"1732" 33019 1914 43.36265 -72.22276 537.31 43074 27223 25 0.0875238927747062 -1.19689019320463
"1733" 34001 1970 39.48059 -74.67418 555.7 275422 27613 32 0.0598488007628663 -1.26694553230744
"1734" 34003 1966 40.96162 -74.07378 233.01 918888 43012 5 0.0664557938266287 -1.24049892668802
"1735" 34005 1967 39.88453 -74.66579 798.58 451336 36101 22 0.0596242394479133 -1.25983224684594
"1736" 34007 1970 39.79758 -74.9468 221.26 513539 30136 24 0.0559669905047279 -1.26153312807663
"1737" 34009 1970 39.15104 -74.80786 251.43 96304 33796 16 0.0583325957970422 -1.2728288954103
"1738" 34011 1972 39.37064 -75.11115 483.7 157785 22636 29 0.0541058210894039 -1.26914271988825
"1739" 34015 1970 39.71494 -75.13739 322.01 289586 32067 13 0.0534987425060048 -1.26309727629955
"1740" 34019 1969 40.57309 -74.91399 427.82 127050 49521 11 0.0557924743266635 -1.24787014870668
"1741" 34021 1969 40.28634 -74.69455 224.56 368303 36721 21 0.0589106091846528 -1.25278137793719
"1742" 34023 1967 40.4467 -74.41748 308.91 823041 34153 14 0.0624215931066824 -1.24978415638833
"1743" 34025 1967 40.26116 -74.20899 468.79 629384 42234 15 0.065333131187693 -1.2529068758669
"1744" 34027 1966 40.86163 -74.55699 460.18 497999 48067 37 0.0602333610847236 -1.24257851952837
"1745" 34029 1967 39.91416 -74.28386 628.78 580470 30257 14 0.0646595786731356 -1.25906125664291
